Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Fuel Configuration Name,Electric-Only Range,PHEV Total Range,PHEV Type,Notes,Drivetrain
12949,41,,377,27,e-tron GT,2022,81,83,82,,,,Auto,e-motor,175 kW electric motor,,"175 kW electric motor;
129 Ah battery",Audi,http://progress.audiusa.com/,Sedan/Wagon,ELEC,Electric,,238,,,,AWD
13002,41,,377,29,e-tron quattro,2022,78,77,78,,,,Auto,e-motor,141 kW and 172 kW electric motor,,"141 kW and 172 kW electric motors;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,222,,,,AWD
12950,41,,377,29,"e-tron S (20"" wheels)",2022,72,75,73,,,,Auto,e-motor,138kW electric motor,,"138kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,208,,,,AWD
12951,41,,377,29,"e-tron S (21"" or 22"" wheels)",2022,62,64,63,,,,Auto,e-motor,138kW electric motor,,"138kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,181,,,,AWD
13001,41,,377,29,e-tron Sportback quattro,2022,76,78,77,,,,Auto,e-motor,141 kW and 172 kW electric motor,,"141 kW and 172 kW electric motors;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,218,,,,AWD
12952,41,,377,29,"e-tron S Sportback (20"" wheels)",2022,73,78,75,,,,Auto,e-motor,138kW electric motor,,"138kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,212,,,,AWD
12953,41,,377,29,"e-tron S Sportback (21"" or 22"" wheels)",2022,64,66,65,,,,Auto,e-motor,157kW electric motor,,"157kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,185,,,,AWD
12954,41,,377,29,Q4 e-tron quattro,2022,100,89,95,,,,Auto,e-motor,80 kW and 150 kW electric motor,,"80 kW and 150 kW electric motors;
234 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,241,,,,AWD
12955,41,,377,29,Q4 e-tron Sportback quattro,2022,100,89,95,,,,Auto,e-motor,80 kW and 150 kW electric motor,,"80 kW and 150 kW electric motors;
234 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,241,,,,AWD
12956,41,,377,29,RS e-tron GT,2022,100,89,95,,,,Auto,e-motor,335 kW electric motor,,"335 kW electric motor;
723 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,241,,,,AWD
13047,41,1,211,27,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,109,108,109,,,,Auto,e-motor,250 kW electric motor,,"250 kW electric motor;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,301,,,,RWD
13046,41,1,211,27,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022,100,98,99,,,,Auto,e-motor,250 kW electric motor,,"250 kW electric motor;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,282,,,,RWD
13048,41,1,211,27,"i4 M50 Gran Coupe (19"" Wheels) ",2022,94,98,96,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,270,,,,AWD
13049,41,1,211,27,"i4 M50 Gran Coupe (20"" Wheels) ",2022,79,80,80,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
211 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,227,,,,AWD
13050,41,1,211,29,"iX xDrive50 (20"" Wheels) ",2022,86,87,86,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
303 Ah battery",BMW,www.bmwusa.com,SUV,ELEC,Electric,Dedicated,324,,,,AWD
13051,41,1,211,29,"iX xDrive50 (21"" Wheels) ",2022,82,84,83,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
303 Ah battery",BMW,www.bmwusa.com,SUV,ELEC,Electric,Dedicated,305,,,,AWD
13052,41,1,211,29,"iX xDrive50 (22"" Wheels) ",2022,86,85,86,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
303 Ah battery",BMW,www.bmwusa.com,SUV,ELEC,Electric,Dedicated,315,,,,AWD
12778,41,1,215,27,Bolt EUV,2022,125,104,115,,,,,e-motor,150 kW electric motor,,"150 kW electric motor;
189 Ah battery",Chevrolet,http://www.chevrolet.com,Sedan/Wagon,ELEC,Electric,Dedicated,247,,,,FWD
12777,41,1,215,27,Bolt EV,2022,131,109,120,,,,,e-motor,150 kW electric motor,,"150 kW electric motor;
189 Ah battery",Chevrolet,http://www.chevrolet.com,Sedan/Wagon,ELEC,Electric,Dedicated,259,,,,FWD
13059,41,1,219,29,Mustang Mach-E AWD,2022,98,86,93,,,,Auto,e-motor,198 kW electric motors (x2),,"198 kW electric motors (x2);
216 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,224,,,,AWD
13056,41,1,219,29,Mustang Mach-E AWD California Route 1,2022,105,91,98,,,,Auto,e-motor,258 kW electric motors (x2),,"258 kW electric motors (x2);
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,312,,,,AWD
13060,41,1,219,29,Mustang Mach-E AWD Extended,2022,97,84,91,,,,Auto,e-motor,258 kW electric motors (x2),,"258 kW electric motors (x2);
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,277,,,,AWD
13057,41,1,219,29,Mustang Mach-E GT AWD,2022,90,77,84,,,,Auto,e-motor,179  kW electric motors (X2),,"179  kW electric motors (X2);
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,270,,,,AWD
13058,41,1,219,29,Mustang Mach-E GT Performance,2022,88,75,82,,,,Auto,e-motor,179  kW electric motor,,"179  kW electric motor;
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,260,,,,RWD
13053,41,1,219,29,Mustang Mach-E RWD,2022,110,96,103,,,,Auto,e-motor,198 kW electric motor,,"198 kW electric motor;
216 kWh battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,247,,,,RWD
13055,41,1,219,29,Mustang Mach-E RWD California Route 1,2022,108,94,101,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,314,,,,RWD
13054,41,1,219,29,Mustang Mach-E RWD Extended,2022,104,90,97,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,303,,,,RWD
13005,41,1,351,29,Ioniq 5 AWD (Long Range),2022,110,87,98,,,,Auto,e-motor,74 kW and 165 kW electric motors,,"74 kW and 165 kW electric motors;
111 Ah battery",Hyundai,http://www.hyundaiusa.com/,SUV,ELEC,Electric,Dedicated,256,,,,AWD
13003,41,1,351,29,Ioniq 5 RWD,2022,127,94,110,,,,Auto,e-motor,125 kW electric motor,,"125 kW electric motor;
111 Ah battery",Hyundai,http://www.hyundaiusa.com/,SUV,ELEC,Electric,Dedicated,220,,,,RWD
13004,41,1,351,29,Ioniq 5 RWD (Long Range),2022,132,98,114,,,,Auto,e-motor,168 kW electric motor,,"168 kW electric motor;
111 Ah battery",Hyundai,http://www.hyundaiusa.com/,SUV,ELEC,Electric,Dedicated,303,,,,RWD
12879,41,1,351,29,Kona Electric,2022,132,108,120,,,,Auto,e-motor,150 kW electric motor,,"150 kW electric motor;
180 Ah battery",Hyundai,http://www.hyundaiusa.com/,SUV,ELEC,Electric,Dedicated,258,,,,FWD
13008,41,1,361,27,EV6 AWD (Long Range) ,2022,116,94,105,,,,Auto,e-motor,74 kW and 165 kW electric motors,,"74 kW and 165 kW electric motors;
111 Ah battery",Kia,http://www.kia.com,Sedan/Wagon,ELEC,Electric,Dedicated,274,,,,AWD
13006,41,1,361,27,EV6 RWD,2022,136,100,117,,,,Auto,e-motor,125 kW electric motor,,"125 kW electric motor;
111 Ah battery",Kia,http://www.kia.com,Sedan/Wagon,ELEC,Electric,Dedicated,232,,,,RWD
13007,41,1,361,27,EV6 RWD (Long Range) ,2022,134,101,117,,,,Auto,e-motor,168 kW electric motor,,"168 kW electric motor;
111 Ah battery",Kia,http://www.kia.com,Sedan/Wagon,ELEC,Electric,Dedicated,310,,,,RWD
12880,41,1,361,27,Niro Electric,2022,123,102,112,,,,Auto,e-motor,150 kW electric motor,,"150 kW electric motor;
180 Ah battery",Kia,http://www.kia.com,Sedan/Wagon,ELEC,Electric,Dedicated,239,,,,FWD
12894,41,1,469,27,"Air Dream P AWD w/19"" wheels",2022,117,114,116,,,,Auto,e-motor,370kW and 459kW electric motors,,"370kW and 459kW electrics motors;
150Ah battery","Lucid USA, Inc.",,Sedan/Wagon,ELEC,Electric,Dedicated,471,,,,AWD
12895,41,1,469,27,"Air Dream P AWD w/21"" wheels",2022,110,111,111,,,,Auto,e-motor,370kW and 459kW electric motors,,"370kW and 459kW electrics motors;
150Ah battery","Lucid USA, Inc.",,Sedan/Wagon,ELEC,Electric,Dedicated,451,,,,AWD
12896,41,1,469,27,"Air Dream R AWD w/19"" wheels",2022,126,125,125,,,,Auto,e-motor,198kW and 498kW electric motors,,"198kW and 498kW electrics motors;
150Ah battery","Lucid USA, Inc.",,Sedan/Wagon,ELEC,Electric,Dedicated,520,,,,AWD
12897,41,1,469,27,"Air Dream R AWD w/21"" wheels",2022,115,117,116,,,,Auto,e-motor,198kW and 498kW electric motors,,"198kW and 498kW electrics motors;
150Ah battery","Lucid USA, Inc.",,Sedan/Wagon,ELEC,Electric,Dedicated,481,,,,AWD
12898,41,1,469,27,"Air G Touring AWD w/19"" wheels",2022,130,132,131,,,,Auto,e-motor,178kW and 433kW electric motors,,"178kW and 433kW electrics motors;
143Ah battery","Lucid USA, Inc.",,Sedan/Wagon,ELEC,Electric,Dedicated,516,,,,AWD
12899,41,1,469,27,"Air G Touring AWD w/21"" wheels",2022,121,122,121,,,,Auto,e-motor,178kW and 433kW electric motors,,"178kW and 433kW electrics motors;
143Ah battery","Lucid USA, Inc.",,Sedan/Wagon,ELEC,Electric,Dedicated,469,,,,AWD
12957,41,,229,27,MX-30,2022,98,85,92,,,,,e-motor,81 kW electric motor,,"81 kW electric motor;
100 Ah battery",Mazda,http://www.mazdausa.com,Sedan/Wagon,ELEC,Electric,,100,,,,FWD
12958,41,1,239,27,EQS450+,2022,97,97,97,,,,Auto,e-motor,245 kW electric motor,,"245 kW electric motor;
282 Ah battery",Mercedes-Benz,https://www.mbusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,350,,,,RWD
12959,41,1,239,27,EQS 580 4MATIC,2022,92,99,95,,,,Auto,e-motor,135 and 255 kW electric motors,,"135 kW and 255 kW electric motors;
282 Ah battery",Mercedes-Benz,https://www.mbusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,340,,,,AWD
12779,41,,425,27,Cooper SE Hardtop 2 door,2022,119,100,110,,,,Auto,e-motor,135 kW electric motor,,"135 kW electric motor;
93 Ah battery",Mini,,Sedan/Wagon,ELEC,Electric,,114,,,,FWD
12881,41,9,217,27,Leaf (40 kWh battery pack),2022,123,99,111,,,,Auto,e-motor,110 kW electric motor,,"110 kW electric motor;
115 Ah battery",Nissan,http://www.nissanusa.com,Sedan/Wagon,ELEC,Electric,Hybrid Electric,149,,,,FWD
12882,41,1,217,27,Leaf (62 kWh battery pack),2022,118,97,108,,,,Auto,e-motor,160 kW electric motor,,"160 kW electric motor;
176 Ah battery",Nissan,http://www.nissanusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,226,,,,FWD
12883,41,1,217,27,Leaf SV/SL (62 kWh battery pack),2022,114,94,104,,,,Auto,e-motor,160 kW electric motor,,"160 kW electric motor;
176 Ah battery",Nissan,http://www.nissanusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,215,,,,FWD
12884,41,1,462,27,Polestar 2 (Dual Motor),2022,94,84,89,,,,Auto,e-motor,150kW electric motors (X2),,"dual 150 kW electric motors (300kW total);
196 Ah battery",Polestar Automotive USA,,Sedan/Wagon,ELEC,Electric,Dedicated,249,,,,AWD
13009,41,1,462,27,Polestar 2 (Single Motor),2022,113,100,107,,,,Auto,e-motor,170kW electric motor,,"170kW electric motor;
196 Ah battery",Polestar Automotive USA,,Sedan/Wagon,ELEC,Electric,Dedicated,270,,,,FWD
